0 0
0.1 0.00117778
0.2 0.0251085
0.3 0.0855834
0.4 0.19047
0.5 0.358822
0.6 0.573683
0.7 0.815902
0.8 1.07314
0.9 1.32263
1 1.57044
1.1 1.82747
1.2 2.09602
1.3 2.38608
1.4 2.68487
1.5 2.97339
1.6 3.24263
1.7 3.47963
1.8 3.69052
1.9 3.88973
2 4.08295
2.1 4.27868
2.2 4.47081
2.3 4.64577
2.4 4.79842
2.5 4.92288
2.6 5.02482
2.7 5.11657
2.8 5.20225
2.9 5.2847
3 5.35688
3.1 5.40536
3.2 5.42423
3.3 5.41032
3.4 5.36973
3.5 5.3158
3.6 5.25695
3.7 5.20067
3.8 5.14921
3.9 5.10133
4 5.06345
4.1 5.04538
4.2 5.04052
4.3 5.04815
4.4 5.06358
4.5 5.06049
4.6 5.03988
4.7 5.00474
4.8 4.95948
4.9 4.92747
5 4.90992
5.1 4.90276
5.2 4.90239
5.3 4.88984
5.4 4.86377
5.5 4.83028
5.6 4.79386
5.7 4.77091
5.8 4.76353
5.9 4.76509
6 4.77081
6.1 4.76682
6.2 4.75087
6.3 4.72967
6.4 4.70816
6.5 4.69784
6.6 4.70062
6.7 4.70956
6.8 4.71935
6.9 4.72013
7 4.71007
7.1 4.69583
7.2 4.68257
7.3 4.67849
7.4 4.68492
7.5 4.6953
7.6 4.70441
7.7 4.70532
7.8 4.69694
7.9 4.68559
8 4.67626
8.1 4.67473
8.2 4.68173
8.3 4.69114
8.4 4.69816
8.5 4.69801
8.6 4.69025
8.7 4.6807
8.8 4.67396
8.9 4.67391
9 4.68071
9.1 4.68886
9.2 4.69397
9.3 4.69292
9.4 4.68583
9.5 4.67783
9.6 4.67311
9.7 4.67408
9.8 4.6804
9.9 4.6873
10 4.69083
10.1 4.6891
10.2 4.68273
10.3 4.6761
10.4 4.67291
10.5 4.67458
10.6 4.68026
10.7 4.68596
10.8 4.68824
10.9 4.68606
11 4.68045
11.1 4.67508
11.2 4.67307
11.3 4.67518
11.4 4.6802
11.5 4.6848
11.6 4.68614
11.7 4.6837
11.8 4.67883
11.9 4.67458
12 4.67346
12.1 4.67581
12.2 4.68018
12.3 4.68379
12.4 4.6844
12.5 4.68189
12.6 4.6777
12.7 4.67441
12.8 4.67398
12.9 4.67638
13 4.68014
13.1 4.6829
13.2 4.68297
13.3 4.68051
